Player,FFA_Rank
Bijan Robinson, 2 
Saquon Barkley, 1
Jahmyr Gibbs, 3
Christian McCaffrey, 4
Ashton Jeanty, 5
DeVon Achane, 7
Derrick Henry, 6
Jonathan Taylor, 8
Josh Jacobs, 10
Bucky Irving, 9
Kyren Williams, 13
Chase Brown, 11
James Cook, 15
Kenneth Walker III, 16
Alvin Kamara, 19
Omarion Hampton, 14
Chuba Hubbard, 18
Breece Hall, 12
James Conner, 21
Joe Mixon, 17
DAndre Swift, 24
David Montgomery, 23
TreVeyon Henderson, 22
Aaron Jones Sr., 26
Isiah Pacheco, 28
Kaleb Johnson, 25
RJ Harvey, 20
Tony Pollard, 27
Brian Robinson Jr., 29
Tyrone Tracy Jr., 32
Javonte Williams,
Jaylen Warren, 31
Cam Skattebo, 33
J.K. Dobbins, 36
Rhamondre Stevenson, 37
Travis Etienne Jr., 35
Austin Ekeler,
Tank Bigsby,
Tyjae Spears,
Jordan Mason, 30
Rachaad White,
Jerome Ford,
Quinshon Judkins,
Zach Charbonnet, 34
Trey Benson,
Dylan Sampson,
Najee Harris, 38
Tyler Allgeier,
Nick Chubb,
Braelon Allen,
Jaydon Blue,
Isaac Guerendo,
Jaylen Wright,
Ray Davis,
Kareem Hunt,
Bhayshul Tuten, 39
Justice Hill,
Jacory Croskey-Merritt,
