Player,FFA_Rank
JaMarr Chase, 1
Justin Jefferson, 2
CeeDee Lamb, 3
Puka Nacua, 5
Amon-Ra St. Brown, 6
Malik Nabers, 4
Nico Collins, 7
A.J. Brown, 10
Brian Thomas Jr., 8
Drake London, 9
Tee Higgins, 14
Tyreek Hill, 13
Ladd McConkey, 11
Davante Adams, 18
Jaxon Smith-Njigba, 17
Garrett Wilson, 16
Terry McLaurin, 19
Mike Evans, 20
DK Metcalf, 23
Marvin Harrison Jr., 15
Xavier Worthy, 27
DJ Moore, 21
Zay Flowers, 31
Rashee Rice, 12
Courtland Sutton, 29
Travis Hunter, 28
DeVonta Smith, 22
Calvin Ridley, 30
George Pickens, 29
Jaylen Waddle, 25
Jameson Williams, 26
Jerry Jeudy, 33
Tetairoa McMillan, 24
Rome Odunze, 32
Cooper Kupp,
Stefon Diggs,
Jakobi Meyers,
Matthew Golden,
Chris Olave, 35
Chris Godwin,
Jordan Addison, 34
Deebo Samuel Sr.,
Khalil Shakir,
Jauan Jennings,
Keon Coleman,
Ricky Pearsall,
Michael Pittman Jr.,
Emeka Egbuka,
Jayden Reed,
Darnell Mooney,
Rashid Shaheed,
Jayden Higgins,
Keenan Allen,
Josh Downs,
Adam Thielen,
Xavier Legette,
Jack Bech,
Brandon Aiyuk,
Marvin Mims Jr.,
Cedric Tillman,
Marquise Brown,
Luther Burden III,
Rashod Bateman,
Tre Harris,
WanDale Robinson,
Kyle Williams,
DeAndre Hopkins,
Jalen McMillan,
Romeo Doubs,
Christian Kirk,
Quentin Johnston,
Isaac TeSlaa,
