Name,BDGE Rk,Flock Rk
Tyreek Hill,1,1
CeeDee Lamb,2,2
Justin Jefferson,4,5
Ja'Marr Chase,5,4
Amon-Ra St. Brown,3,3
A.J. Brown,6,6
Garrett Wilson,7,7
Marvin Harrison Jr.,9,10
Puka Nacua,8,8
Davante Adams,13,15
Drake London,16,9
Chris Olave,20,13
Brandon Aiyuk,14,16
Mike Evans,21,17
Nico Collins,12,11
Stefon Diggs,30,22
Deebo Samuel Sr.,17,12
Jaylen Waddle,15,14
DJ Moore,11,21
Cooper Kupp,10,19
Michael Pittman Jr.,22,25
DK Metcalf,25,20
Malik Nabers,29,23
DeVonta Smith,18,18
Zay Flowers,32,26
Tank Dell,31,27
George Pickens,28,30
Amari Cooper,23,31
Tee Higgins,26,28
Keenan Allen,34,36
Christian Kirk,24,35
Terry McLaurin,27,29
Rashee Rice,19,24
Rome Odunze,39,38
Jayden Reed,37,33
Chris Godwin,36,34
Xavier Worthy,35,37
Calvin Ridley,33,32
Jordan Addison,,45
Ladd McConkey,40,43
Hollywood Brown,,
Keon Coleman,,44
Diontae Johnson,38,41
DeAndre Hopkins,,48
Jaxon Smith-Njigba,,42
Christian Watson,,40
Brian Thomas Jr.,,39
Jameson Williams,,49
Courtland Sutton,,47
Curtis Samuel,,
Romeo Doubs,,
Tyler Lockett,,
Khalil Shakir,,
Jakobi Meyers,,
Jerry Jeudy,,
Joshua Palmer,,
Mike Williams,,
Brandin Cooks,,
Adam Thielen,,
DeMario Douglas,,
,,
